"name","screen_name","text","polarity","subjectivity","label"
"HireAmOnly","navedsylhet","RT @FairClaire00: @USAndIndia @IvankaTrump @GES2017 @narendramodi @PMOIndia @NITIAayog Another event to loot USA out of jobs. Will you tour…","0.00","0.00","NEGATIVE"
"Ameet Joshi","Ameettweets","RT @amitabhk87: Artificial Intelligence is d key utility of technology world -like electricity evolved a century ago. AI will change entire…","-0.30","1.00","NEGATIVE"
"Dinesh ME","DineshME1","RT @NITIAayog: NITI CEO @amitabhk87 interacts with Ministries, Industries, Academia to deliberate on the use of Artificial Intelligence for…","-0.60","1.00","NEGATIVE"
"Amit Majumdar","Majumdar_Amit","RT @rk_misra: At world's largest Cycle Plant in Ludhiana-It started hiring women 1 yr ago. Women productivity is 25% higher than men @NITIA…","0.25","0.50","POSITIVE"
"D. Murali","dmuraliDM","@theicai @FinMinIndia @MIB_India @IASassociation @arunjaitley @NileshVik @arjunrammeghwal @adhia03 @santoshgangwar… https://t.co/QGLUroL62L","0.00","0.00","NEGATIVE"
"Akhileshwar Sahay","akhileshlinky","@PMOIndia @narendramodi @JPNadda @NITIAayog I can germinate the idea Mission Zero Suicide but only you can turbocha… https://t.co/BfalKe6eXG","0.00","1.00","NEGATIVE"
"Shishupal","iamshishu_","RT @ac_sekharan: What will this model mean for #accountability and #equity and has @NITIAayog given that any thought?
https://t.co/8YfPx5hR…","-0.31","0.69","NEGATIVE"
"CHERAKULA YUGESH","YUGESHBABU14","RT @amitabhk87: Artificial Intelligence is d key utility of technology world -like electricity evolved a century ago. AI will change entire…","-0.30","1.00","NEGATIVE"
"mphariprasad","mphariprasad","@NITIAayog @narendramodi @EconomicTimes Require proper daycare/playschools planning is defective in providing prope… https://t.co/3bznbNVsoS","0.00","0.10","NEGATIVE"
"nobism","nobismhealth","RT @TrioTreeTech: 3 states to get #Healthcare Makeover by #NITIAayog under its  #SATH #initiative to improve #patientcare. #hospitals 
http…","0.00","0.00","NEGATIVE"
"D. Murali","dmuraliDM","@theicai @FinMinIndia @MIB_India @IASassociation @arunjaitley @NileshVik @arjunrammeghwal @adhia03 @santoshgangwar… https://t.co/DN1mQisnNX","0.00","0.00","NEGATIVE"
"Hasu. Kapasi.","KapasiHasu","@RajivKumar1 @VasundharaBJP @NITIAayog God bless you.","0.00","0.00","NEGATIVE"
"rohini_shah","RohiniShah1","RT @PardeepParihar: Ready to take part in #NewIndiaManthan via Video Conferencing with @narendramodi ji #DigitalIndia 
@NITIAayog @_Digital…","0.20","0.50","POSITIVE"
"Nishanth A R","nishanthavarthi","RT @rk_misra: At world's largest Cycle Plant in Ludhiana-It started hiring women 1 yr ago. Women productivity is 25% higher than men @NITIA…","0.25","0.50","POSITIVE"
"John Reagan","joreag","Vivek Vasishtha: @amitabhk87 Thank you @NITIAayog @amitabh_kant #IBM #ibm #IBMWatson #ibm we are keen to collab... https://t.co/ubomKfJ8Qx","0.00","0.00","NEGATIVE"
"mphariprasad","mphariprasad","@NITIAayog @narendramodi @EconomicTimes Protect infant's birthrights+provide better daycare/playschools with proper… https://t.co/jiNdwOrn5X","0.50","0.50","POSITIVE"
"sheikismail","sheikismail","RT @NITIAayog: NITI Aayog conducts the Second Phase of Review of Autonomous Bodies under chairmanship of Principal Adviser Ratan P Watal ht…","0.20","0.35","POSITIVE"
"भृषटो से साबधान जी।","MUNESHBABU1969","RT @NITIAayog: NITI Aayog conducts the Second Phase of Review of Autonomous Bodies under chairmanship of Principal Adviser Ratan P Watal ht…","0.20","0.35","POSITIVE"
