"name","screen_name","text","polarity","subjectivity","label"
"J O V E R","JoverPael","Cramming for what's next on my art series. I might take a pause on Marvel after my #AvengersAssembleSeries in #IglotArt","0.00","0.00","NEGATIVE"
"Tama@SMASH#127b","soulc1ty","@happypiggyy I'll be sure to visit!!! I don't, still cramming in last minute merch orz","0.49","0.48","POSITIVE"
"Sling the Mesh","MeshCampaign","@lockyfoley @HumanHeadline @OwenSmith_MP @WedlakeBell @ElneilSuzy there is a panel in story saying what they are Th… https://t.co/1s3haVT1qi","0.00","0.00","NEGATIVE"
"geliquerdrgz","geliquegelique","Chill muna bago Cramming 👌🏼😂","0.00","0.00","NEGATIVE"
"😑","wawaamir_","RT @TheDIYHacks: Don't skip on sleep. Sleep is more important than homework. It's proven that it's better to sleep than to stay up late cra…","0.27","0.65","POSITIVE"
"😇","juliedeloso","Me when cramming my papers 😂 https://t.co/8PKM2KpomP","0.00","0.00","NEGATIVE"
"TEFKAS","tefkas","@TomiLahren The military issue guns so defeating the enemy by cramming them into head-high storage in 10-20kg incre… https://t.co/GfjxcshBRu","-0.10","0.10","NEGATIVE"
"Jayhan Somosierra","JayhanBryant","Basketball over portal !!! #Ballislife #cramming !!","0.00","0.00","NEGATIVE"
"MO @ UT","undermold","rounds of bad time require in-between breaks for brain and body to absorb the muscle memory ( just like exam cramming","-0.70","0.67","NEGATIVE"
"Rowell G. Casaclang","rowlingstones","Best in cramming.","1.00","0.30","POSITIVE"
"Chuck Lentz","lentz_chuck","RT @DigitalCrazy: Yo i think I'm ready for my prostate exam.  I have been cramming for this since 13.","0.20","0.50","POSITIVE"
"I hate Gachas","TheWillToRP","I keep saying ""I want to RP X"" or ""I want to write Y"" but try cramming that into a few minutes before bed.","-0.20","0.10","NEGATIVE"
"☕️ kila 🍟🍦","kilachuu","#WIP 👀 //cramming at its finest https://t.co/2AbjhFjr9W","0.00","0.00","NEGATIVE"
"Cristina","Cristina_ann_","RT @chestergarcia18: @Cristina_ann_ YOU'RE DAMN RIGHT SHE FUCKING PASSES THAT TEST AND FUCKING PASSES THE CLASS WHILE CRAMMING WORK AND OTH…","-0.30","0.71","NEGATIVE"
"Christopher Cox","chriscoxb2b","@ShiftingClimate @wildweatherdan And the CC crowd isn't self-
reinforcing and then cramming down our collective thr… https://t.co/AF4IPpG9FG","-0.16","0.29","NEGATIVE"
"Aaroniero","ronpetallana","Cramming","0.00","0.00","NEGATIVE"
"Jard🗡🛡⚔️","JaredEstolloso","The cramming starts now...","0.00","0.00","NEGATIVE"
"chester garcia","chestergarcia18","@Cristina_ann_ YOU'RE DAMN RIGHT SHE FUCKING PASSES THAT TEST AND FUCKING PASSES THE CLASS WHILE CRAMMING WORK AND OTHER CLASSES","-0.26","0.63","NEGATIVE"
"Kekistan MOCAAM","KekistanBaseMom","@gol_mia @nov3mb3rjazz @narutofesta2 @gogreen18 Not everyone goes to museums, we both know that. I spend my vacatio… https://t.co/xLwEE6dTG1","0.00","0.00","NEGATIVE"
"anne","annetabaa","cramming bago magexam","0.00","0.00","NEGATIVE"
"Hassanin Yousif","hytenuk","Live Webinar: Cramming Creativity into Engineering Education - August 29, 2PM ET https://t.co/cHI2hl4DvD #webdesign","0.14","0.50","POSITIVE"
"Alj","ajmnavales","Wooo cramming week is here 😁😁😁","0.00","0.00","NEGATIVE"
"Mae Tan","maytiutan","So I'm cramming for my 430 class but nag detour ako to take Cookie sa vet... #Priorities","0.00","0.00","NEGATIVE"
"Philbolo","PhilboloInfo","@InSpiteOfTrump Yep, the Cult45 worshippers will be cramming planes to see where their tRUMP ties are made","0.00","0.00","NEGATIVE"
"emma","emmabeckerrr","RT @AdrianXpression: Take yall asses to sleep. Cramming RIGHT before class helps tho. You can regurgitate the answers you just saw minutes…","0.29","0.54","POSITIVE"
"🐼","marieldiesta","Last minute na pagbili ng dress for ate pao's birthday 😂 I'm good at cramming everything 😌","0.35","0.33","POSITIVE"
"Josie","josieggarrett","RT @sidneeshawn: Most people spend the end of their summer cramming in outdoor activities. I spent mine obsessing over Big Brother. 🙃","0.13","0.23","POSITIVE"
"eyeswerewatchinggod","estn082196","RT @AdrianXpression: Take yall asses to sleep. Cramming RIGHT before class helps tho. You can regurgitate the answers you just saw minutes…","0.29","0.54","POSITIVE"
"insfire? INFIRES  🔥","_Fionuuuh97","Fangirl now, CRAMMING LATER...","0.00","0.00","NEGATIVE"
"charlyn","chababaran","CRAMMING!!!!! ☹️☹️☹️","0.00","0.00","NEGATIVE"
"Marisa🥝","heskiwi94x","RT @jxesweetie: 5h stan talking about cramming credits when Flex, a song that repeats after the chorus, had all these writers... https://t.…","0.00","0.00","NEGATIVE"
"heyrubie","heyruubie","i'm just thankful. that's all. with all the cramming and everything, ayoko ng ganon. 😭","0.00","0.00","NEGATIVE"
"alice","_aliceao","mm rly enjoying the sound of construction while i start cramming for an exam in two days","0.45","0.50","POSITIVE"
"mound","PITmounD","cramming like a boss, one of my greatest skills","1.00","1.00","POSITIVE"
"a. MINHYUN DAY!!","cangyusaveme","im so used to cramming its like im trying to enjoy the bits of the remaining free time i have before going into a battle","0.40","0.65","POSITIVE"
"ㅤㅤㅤQueen.","LANECEW","RT @Larryellee: @LANECEW @_yanayyy Because that shit doesn't help or work, it's basically like you're cramming and it's not good to cram si…","-0.28","0.70","NEGATIVE"
"La","Larryellee","@LANECEW @_yanayyy Because that shit doesn't help or work, it's basically like you're cramming and it's not good to cram sis. College 101","-0.28","0.70","NEGATIVE"
"Darrell Poitra","darrell_poitra","@JennaMcAvoy1 I love cramming the word of gawd down my throat then when it's too much regurgitate it into your throat. BLECHHCHH. Yum!","0.20","0.36","POSITIVE"
"Benny Goalie Mask","BenRemington","He's probably struggling due to every media outlet cramming themselves into his jock https://t.co/l52Edju2xg","-0.13","0.38","NEGATIVE"
"unconventional","DeerparkieLuv","RT @AdrianXpression: Take yall asses to sleep. Cramming RIGHT before class helps tho. You can regurgitate the answers you just saw minutes…","0.29","0.54","POSITIVE"
"dara","jeonjiminssi","@buttcrackoakley lol! Study!!! Hahaha! Though i hardly did on time in college. I was always cramming 😂","0.32","0.55","POSITIVE"
"Kara","KaraLum","Nothing gets me more upset than sitting in traffic and getting angry that everyone's cramming to live here","0.05","0.67","POSITIVE"
"victoria🇨🇩","icryclouds","RT @AdrianXpression: Take yall asses to sleep. Cramming RIGHT before class helps tho. You can regurgitate the answers you just saw minutes…","0.29","0.54","POSITIVE"
"eclaire","emmmmyclaire","I'm an expert at cramming fun times all into one day off❤️ https://t.co/8i7BWbUb9R","0.30","0.20","POSITIVE"
"Unknown ❌ Specie 👻","unknown_speciee","Horaaaay for surving a pop quiz 😂 Arigatou cramming","0.00","0.00","NEGATIVE"
"beach","adrylpsn","NO TO CRAMMING!! LEZ DO DIS!","0.00","0.00","NEGATIVE"
"TOXIC 👻💤","YasItsMica_","@jerichag_ Cramming is life kaya","0.00","0.00","NEGATIVE"
