"name","screen_name","text","polarity","subjectivity","label"
"Cheryl Roberts","tribapeswin1989","akira lane anal pictures of teens getting fucked by their teachers https://t.co/AMHms5SXNw","-0.60","0.70","NEGATIVE"
"A.","kutielexi","I added a video to a @YouTube playlist https://t.co/O87uIPqsXk Freshman Advice | GPA, Love, Teachers (collab)","0.50","0.60","POSITIVE"
"ThisIsYassir","RealCalderon254","RT @akilahmed_: I struggled to mentally prepare myself for another 5 years of corruption, land grabbing, teachers, doctors and nurse strike…","-0.10","0.20","NEGATIVE"
"PuddleDucks SWLondon","PuddleSWLondon","RT @PuddletheDuck: Our teacher numbers. If you would like to be one of our team, find out what it takes: https://t.co/1sAdbHsXw7 https://t.…","0.00","0.00","NEGATIVE"
"VISHAL GUPTA","guptavishal10","Best Quotes/ Thoughts on Teachers &amp; Teachers' Day https://t.co/e5WSBgW74g","1.00","0.30","POSITIVE"
"Roger Hansford","r_hansford","RT @GuardianTeach: How can teachers and parents help young people excel? Work out what's holding them back, says @Colmdcu https://t.co/Nq2Y…","0.05","0.20","POSITIVE"
"AAPकाEVMआंदोलन जल्द","AK_4_PM2019","RT @AAPInNews: HIRING PROCESS - @msisodia  takes guest teachers' case to Baijal https://t.co/Aj8h4ghlsa","0.00","0.00","NEGATIVE"
"AAPकाEVMआंदोलन जल्द","AK_4_PM2019","RT @DaaruBaazMehta: READ

Dy CM @msisodia writes to Delhi LG Anil Baijal on giving Age relaxation and weightage to the guest teachers as pe…","0.00","0.00","NEGATIVE"
"Andy Brown","AndyBrown314","RT @SchoolsImprove: In case you missed it: Student teachers in class after five weeks of training https://t.co/pw4F2OJ3H8","0.00","0.00","NEGATIVE"
"AAPकाEVMआंदोलन जल्द","AK_4_PM2019","RT @ashu3page: Moreover the elected govt in Delhi bypassed for hiring 15,000 teachers &amp; recommendation of weightage for experienced guest t…","0.80","0.90","POSITIVE"
"Exercise Works!","exerciseworks","RT @sportrecdance: @drjeubanks @exerciseworks @CorKinetic @BethFratesMD @JulieSilverMD @DrAlliBean @MVGutierrezMD @rahatheart1 @ESandelMD @…","0.00","0.00","NEGATIVE"
"Autism Talk","AutismTalkASD","RT @geekclubbooks: Does inclusion in your gen ed classroom scare you? Trisha Katkin is here to help! @TrishaKatkin #spedchat #AskMiss - htt…","0.00","0.00","NEGATIVE"
"Brendan Jones 🚴","jonesytheteachr","Righto. Watching @ABCcompass and their story on teachers #burnoutchat","0.00","0.00","NEGATIVE"
"Pradeep Kumar","PradeepPriv","RT @VICE: An Alabama judge just ruled that teachers have the right to sleep with their students: https://t.co/7SH7ok6onn https://t.co/5LHRm…","0.29","0.54","POSITIVE"
"baby jules","julia_karinne","@AshleyGilion My mom &amp; I left her classroom at 12:23am yesterday... I am being raised by one of those crazy elementary teachers. 😅","-0.10","0.60","NEGATIVE"
"Chris Grabski","ChrisHGR","@AlmaHarris1 @MichelleSJones1 Reminder of the role of teacher agency from Stenhouse that ultimately teachers change classrooms, not policies","0.00","1.00","NEGATIVE"
"Beyoncé","jnasteee","Damn have y'all ever thought about how loud teachers used to yell at us ? Like I can think of some that would've made it on to your moms","0.10","0.80","POSITIVE"
"ItsNoloChief","IamMrNolo","@tumisole @LiberalsAreNaiv We grew up teachers disciplining us with a cane. We did not see it as abuse really🔴","0.00","0.00","NEGATIVE"
"moiluu@facebook.com","Moiluu1","RT @zukovka: That's Doc Scheppler talking to the young players. One of best teachers in hoops. His HS Girls team has won 6 state titles. ht…","0.55","0.35","POSITIVE"
"Movement & Dance","sportrecdance","@drjeubanks @exerciseworks @CorKinetic @BethFratesMD @JulieSilverMD @DrAlliBean @MVGutierrezMD @rahatheart1… https://t.co/UuDeMeqY8q","0.00","0.00","NEGATIVE"
"Richard Macwan","richard_mac1","RT @CollectorAnd: Primary teachers association of Anand donated 63.85 lacs to Hon'ble CM disaster relief fund from their salaries. I aknowl…","0.40","0.50","POSITIVE"
"RankinGraphicDesign","jerankin","RT @SaraJBenincasa: African American Teaching Fellows works to diversify a system with only 10% African American teachers. @aatfnews https:…","0.00","0.20","NEGATIVE"
"VolunteeringHounslow","VolHounslow","#Volunteering this week: opportunities for nature lovers, teachers of English, and supportive people! #TEFL  https://t.co/ycuUaTrWi5","0.31","0.50","POSITIVE"
"Gillian Adams","Gillian30632311","naked sex teachers movie girls nude https://t.co/lu38yiWUA8","0.00","0.40","NEGATIVE"
"Mark Weir","LEADS1mw","How Teachers Have Impacted my Life –  https://t.co/Gy6pAuQQyt","0.00","0.00","NEGATIVE"
"Drew Taddia","TrueFormLife","#Reducestress for #teachers - #stress TRUE FORM - https://t.co/ySALYPaxIS https://t.co/FuXEa7CQ58","0.35","0.65","POSITIVE"
"Angelo  Cachero","gelopiglet","Master's buddy. 💙💚💙 #friendshipgoals #maed #education #teachers #english https://t.co/KVEhNcEVau","0.00","0.00","NEGATIVE"
"Michelle Haywood","michhayw","@maximisingTAs 😂😂😂 maybe!! Let's #asktwitter what teachers read when they were teens. If I'm admitting to Sweet Val… https://t.co/kvINRB8RV1","0.35","0.65","POSITIVE"
"Aileen","CmonAileent","I love my university professors who are aware of white privilege and understand intersectionality. I wish my high school teachers taught us","0.23","0.35","POSITIVE"
"The Bullet","Hi_Oops_16","I tell my teachers to give me an F or send me out of the class. We're pressured to do things that can actually shut… https://t.co/aHFQ8TAL2l","0.00","0.10","NEGATIVE"
"EdNews","ed_ontap","A great read on the accidental ways teachers can disrupt their own lessons","0.70","0.88","POSITIVE"
"James Twiss","jim_twiss","The big lesson from the world's best school system? Trust your teachers | John Hart https://t.co/oAVGJxmF9x","0.50","0.20","POSITIVE"
"AmalSindi","AmalSindi","RT @fastcranny: If we want our students to become critical thinkers and questioners, then as leaders we must encourage the same traits in t…","0.00","0.46","NEGATIVE"
"ArtHistoryinSchools","AHiScharity","We’ve just released ten more places on our free sharing skills event for arts &amp; humanities teachers. Don’t miss out: https://t.co/mzENwhcUX6","0.30","0.43","POSITIVE"
"EduMais","EduMais4","With our recent increase of male teachers, this article highlights how it positively impacts our boy students. 
https://t.co/KTo4yz8eru","0.08","0.30","POSITIVE"
"Schools Online","Schools_On_Line","The free learning journey to help you to improve classroom practice and develop ideas with teachers internationally… https://t.co/1tEy8UffxZ","0.40","0.80","POSITIVE"
"Inspirational YOU™","Inspirational_U","We are launching a Saturday School in #Clapham &amp; are looking for Advisors, mentors &amp; teachers https://t.co/lUP7JFbBFK","0.00","0.00","NEGATIVE"
"Excell Supply","ExcellSupply","6 habits of talented teachers: how many do you feel you have? https://t.co/E13pkqMYi9 https://t.co/sS5n2mI7xa","0.60","0.70","POSITIVE"
"Engage Education","EngageEducation","The big lesson from the world's best #school system? Trust your #teachers https://t.co/q6uWGqfql6","0.50","0.20","POSITIVE"
"Engageedireland","Engageedireland","The big lesson from the world's best #school system? Trust your #teachers https://t.co/8zgKy74TSf","0.50","0.20","POSITIVE"
"Engage-East Anglia","EEastAnglia","The big lesson from the world's best #school system? Trust your #teachers https://t.co/pVVUn8C8gH","0.50","0.20","POSITIVE"
"Mchuzi🌶","_BrandieBee","RT @akilahmed_: I struggled to mentally prepare myself for another 5 years of corruption, land grabbing, teachers, doctors and nurse strike…","-0.10","0.20","NEGATIVE"
"CamsDotComLive 🔞","CamsDotComLive","RT @Samantha_Squirt: Back to School Costume Contest. 
Details can be found below.
Sexy school girls and tasteful teachers? Hell yeah!

http…","0.31","0.50","POSITIVE"
"BrainyTap","BrainyTap","Don't forget to follow us on Teachers Pay Teachers for FREE Brainy Tap work sheets and activities! ✏️ https://t.co/d5XNWrVuw8","0.50","0.80","POSITIVE"
"BIoR","IOR","Government to recruit 600 foreign teachers with £10m budget - RECRUITING TIMES https://t.co/alZ3s1aClm https://t.co/meDi6E8kXm","-0.13","0.13","NEGATIVE"
"Compass","ABCcompass","@JaneCaro's new 3 part series on #Teachers starts right now on @ABCTV &amp; @ABCiview #TheStaffroom https://t.co/NAAdYn9Ips","0.21","0.50","POSITIVE"
"BN Rockford","BNRockford","Teachers, are you ready? Pre-K-12th grade educators receive extra savings at B&amp;N in-store every Saturday &amp; Sunday i… https://t.co/pK6jRO624U","0.10","0.30","POSITIVE"
"Susan Morrissey","susanemorrissey","8 Clothing Stores with Discounts for Teachers https://t.co/6KUTHOjEJ2","0.00","0.00","NEGATIVE"
"Phia Amandy","phialiciousWP","RT @TheWeirdWorld: Despite what teachers told us, Wikipedia did end up being the most valuable resource for research.","0.50","0.50","POSITIVE"
"Nora Leary","MissLearyOBPS","""For the things they molded into the child, could neither be sold nor bought."" #Teachers #Parents #Children #School… https://t.co/8RntwplEE5","0.00","0.00","NEGATIVE"
"Angelica Martin","dakengerin1988","two teachers sex 13yr old girl nude videos https://t.co/HhfgtorkGj","0.10","0.20","POSITIVE"
"Jojo","JojoBoracay11","Celebrating 20 Years of Montessori Training ( IMC Teachers are exchange in different Montessori international schoo… https://t.co/NHpnOL84uH","0.00","0.30","NEGATIVE"
"Felino 🥀","pettyccine","RT @SaraJBenincasa: African American Teaching Fellows works to diversify a system with only 10% African American teachers. @aatfnews https:…","0.00","0.20","NEGATIVE"
"Alexandra Morgan","eneniseb1971","sexy nude teachers beautiful teen virgins masterbating videos https://t.co/blAPIQdMu3","0.45","0.67","POSITIVE"
"StudyWise","StudyWiseUK","Teachers interested in helping a level students through eLearning revision please get in touch :) #alevel Economics… https://t.co/O5TvnzP4y6","0.38","0.75","POSITIVE"
"Diana Lewis","DianaLe14327910","teachers sexy taboo phone sex https://t.co/Am0y4xDSIi","0.50","1.00","POSITIVE"
"👸🏾 🌞 🎶 ♊ ☯  🌈","Lilly_souzy","RT @himurahimeko: I'm sorry but...teachers sleeping w their students while they're still students needs to be a not story plz","-0.50","1.00","NEGATIVE"
"Rick LeBlanc","RickAcadie","RT @ericemoji: #ableg #OnBehalfOfJasonKenney I'd like to thank our unionized teachers and nurses for raising our kids and caring for our si…","0.00","0.00","NEGATIVE"
"Amanda","ALMcCloskey","Teachers as designers- exploring how to create interesting unit provocations #mtpyph #pypchat #ibstrong https://t.co/6350fft4dt","0.50","0.50","POSITIVE"
"Deepti Sawhney","deeptisawhney","Learn Today conducting a #workshop on Bloom's Taxonomy for the teachers of Salvation Tree School, Greater Noida.... https://t.co/Gy9ytUcS7g","0.50","0.50","POSITIVE"
"NEWGOOD Brand","NEWGOODOFFICIAL","@Warpath1com NO. 1 teacherS","0.00","0.00","NEGATIVE"
"Learn Today","ulearntoday","Learn Today conducting a #workshop on Bloom's Taxonomy for the teachers of Salvation Tree School, Greater Noida. https://t.co/KpDQOfrSXq","0.50","0.50","POSITIVE"
"Robert Adam","rejadam","RT @rwilks: 9% of teachers working w deaf children have BSL Level 3 or above, yet 57% work with children whose preferred language is BSL/SS…","0.00","0.10","NEGATIVE"
"Victoria Morris","Victori28752953","phat women naked nude mature teachers https://t.co/js23Y0lT3R","0.05","0.25","POSITIVE"
"slow17motion","slow17moLIVES","@Egg_raid_mojo @sevenwithcheese Fewer men are high school English teachers. My entire dept, dept chair, and superintendent are all women.","0.05","0.39","POSITIVE"
"Matilda","matildaa___","I love cranky high school teachers 😩 as if I didn't want to break down enough already !! Please yell at me some more !!!","0.30","0.49","POSITIVE"
"Paul Southwell","PaulSouthwell","Teacher burnout: ABC documentary ‘In The Staffroom’ explores the emotional toll https://t.co/AKt21MoctO","0.00","0.33","NEGATIVE"
"Raymond Soltysek","raymondsoltysek","@monkrob @drlindagraham @smithsmm @TimAllwood @DavidBrownNET @darynsimon @jameswren1975 @alisoniredale @SwailesRuth… https://t.co/4ifrhiSzJ4","0.00","0.00","NEGATIVE"
"Emely","emily__darlene","RT @FunnyBrawls: teachers fighting... what... how do you even... what the fuck https://t.co/kVpik25Exq","-0.40","0.60","NEGATIVE"
"Alison Taylor","lerafulwo1989","2 teachers having sex korean amateur pussy https://t.co/1gBGZQs7HN","-0.25","0.25","NEGATIVE"
"Kate Bryant","BulmaQuinn","RT @SaraJBenincasa: African American Teaching Fellows works to diversify a system with only 10% African American teachers. @aatfnews https:…","0.00","0.20","NEGATIVE"
"Will Peters","bamawillwin","RT @VICE: An Alabama judge just ruled that teachers have the right to sleep with their students: https://t.co/7SH7ok6onn https://t.co/5LHRm…","0.29","0.54","POSITIVE"
"Féline ₪","FelineCayen","RT @bestpicofshawn: Shawn said that it was difficult to be a good musician and student at the same time but his teachers were very understa…","0.10","0.51","POSITIVE"
"mom4autism","regisdavis","A Teacher’s Cheat Sheet about My Child {Tip18-31} - Parenting Special Needs Magazine https://t.co/1rlVZA0aQB","0.36","0.57","POSITIVE"
"ℒαℒα💜💜","_Lauroooo","RT @TehyaShanice: While analyzing the students and teachers at my job, I must say, Louisiana education has failed us completely. Especially…","-0.20","0.35","NEGATIVE"
"hj","blossomxburn","RT @Xochilth_Garcia: Bruh how Klein ISD has a new school that looks like this but teachers at Klein forest gotta make class copies bc we do…","0.14","0.45","POSITIVE"
"💣히루마💣","bulbaseok","RT @himurahimeko: I'm sorry but...teachers sleeping w their students while they're still students needs to be a not story plz","-0.50","1.00","NEGATIVE"
"AngelaBarbour","BarboureLa","RT @SteeleThoughts: All teachers have bad days.  The best teachers refuse to let their ‘bad day’ compromise the positive energy in the clas…","-0.04","0.54","NEGATIVE"
"clare bella","Dudleygirl79","@NigelLackland @lilstar199 @RadicalAus @StinsonHunter There's always people around children that are sexual predato… https://t.co/bYpKoxDcGg","0.50","0.83","POSITIVE"
"Edeline Sanders","marsiopyhal1983","what guys want sex student sex two teachers https://t.co/bopMfHwH6p","0.00","0.00","NEGATIVE"
"Shadeybaby","shadeazeez1","Teachers reveal students  bad reply which sound more funny - https://t.co/37WzJKlJOd https://t.co/7l9plnDiYN","0.11","0.64","POSITIVE"
"rob kelsall","rob_kelsall","RT @Ed_Dorrell: If anyone ends up in the dole queue because of 2017's #GCSEresults, it should be politicians, not teachers - by me https://…","0.00","0.00","NEGATIVE"
"Chairman Mardikins","MariaRossall","RT @0s5i3: @LabSocialists @SarahChampionMP They're also likely to be shielded from the consequences because of their status, politicians, c…","0.00","1.00","NEGATIVE"
"javed minhas","javed_minhas","Teachers from all private schools are invited here to discuss your problems.All those who are taking high fees... https://t.co/n9UvLRTYhS","0.08","0.46","POSITIVE"
"Chantal RL","RieutortRl","RT @Gary_S_King: The big lesson from the world's best school system? TRUST your teachers! https://t.co/idDajliKK2","0.50","0.20","POSITIVE"
"JJ","JJX1017","RT @MannyPonders: Look at all these substitute teachers smh https://t.co/9VZbP0Bruk","0.00","0.00","NEGATIVE"
"blessingangella007","blessingangella","Teachers reveal students  bad reply which sound more funny - https://t.co/jqhDxK0S5s https://t.co/eFs1DXEJ77","0.11","0.64","POSITIVE"
"Stephen Bax","BaxStephen","@RichardSmithELT How to normalise new technologies in learners' learning, in blended mode. All teachers now need to… https://t.co/pNXRLcIFXD","0.14","0.45","POSITIVE"
"sefi","SefiSefibabei","Teachers reveal students  bad reply which sound more funny - https://t.co/zdxzvYiZ00 https://t.co/cft9AjKP7s","0.11","0.64","POSITIVE"
"Movement & Dance","sportrecdance","Dance yourself fit with .@sportrecdance dance and dance fitness teachers. We have a style of dance for everyone https://t.co/eypHNrQvn6","0.40","0.40","POSITIVE"
"Tհҽ ★LօօղҽվVҽɾʂҽ ★★","LooneyVerse","RT @lovenh422: Teachers reveal students  bad reply which sound more funny - https://t.co/69iFUqKKL2 https://t.co/7fB468LjSY","0.11","0.64","POSITIVE"
"asymmetry","omwansa_","RT @akilahmed_: I struggled to mentally prepare myself for another 5 years of corruption, land grabbing, teachers, doctors and nurse strike…","-0.10","0.20","NEGATIVE"
"Nhlanhla","Nhlanhlalucan","@mvumenimzimela @tumisole @LiberalsAreNaiv A leaner died in Mpumalanga early this year because of such behaviour fr… https://t.co/hCw9yyzPbQ","0.05","0.40","POSITIVE"
"@Ria","AnamikaSaikia11","RT @HTPunjab: Now Himachal issues dress code for teachers; flying squad to carry out random checks
https://t.co/xeLnN3cyB1","-0.50","0.50","NEGATIVE"
"Raymond Soltysek","raymondsoltysek","@monkrob @drlindagraham @smithsmm @TimAllwood @DavidBrownNET @darynsimon @jameswren1975 @alisoniredale @SwailesRuth… https://t.co/KahKp5138A","0.00","0.00","NEGATIVE"
"Emma Stewart","EmmaSte66000936","nude teachers having sex cherry pie porno https://t.co/DNu8CFewAw","0.00","0.00","NEGATIVE"
"love","lovenh422","Teachers reveal students  bad reply which sound more funny - https://t.co/69iFUqKKL2 https://t.co/7fB468LjSY","0.11","0.64","POSITIVE"
"Future Of Everything","FOEnews","National Network of State Teachers Take on the “Every Student Succeeds Act” https://t.co/k0kfzar3Xx","0.70","0.10","POSITIVE"
"IZZA🍁","ChloeMargaret4","RT @chloeamber06: not ready to see annoying ass people , and nonsense teachers again 🙄🙄","-0.45","0.70","NEGATIVE"
"windyfrostt","windyfrostt","RT @qkode: Why Introverted Teachers Are Burning Out Educators are feeling drained by the insistent emphasis on collaboration a https://t.co…","0.00","0.00","NEGATIVE"
"Ingrid Henry","Ingridworking","RT @MTEAunion: Janesville teachers applaud school board vote to scrap teacher ‘merit pay’ system linked to Ed Effectiveness program https:/…","0.00","0.00","NEGATIVE"
"Puriey Nyatichi","nyatichiy","RT @akilahmed_: I struggled to mentally prepare myself for another 5 years of corruption, land grabbing, teachers, doctors and nurse strike…","-0.10","0.20","NEGATIVE"
"Caitlin donaghey","Caitlindonaghe1","@GaerPrimary @southwalesargus I miss all the teachers","0.00","0.00","NEGATIVE"
"Natasha Redden","ReddenNatasha","RT @a_oshannessy: Great to able to practice what we preach and use technology to engage with @BRIDGEschools Welcome to our new 🇦🇺- ASEAN te…","0.56","0.68","POSITIVE"
"coco mami","dhherbo","RT @jonixfrancis: not excited for all these teachers to mess up my name 😒","-0.18","0.46","NEGATIVE"
"Ensar&Muhacir","EnsarMuhacir13","RT @bayurk1: Detention to Children! 40 Children &amp; 12 Teachers including 4 women taken to Police Quarter (TURKEY) for interrogation! @hrw #5…","0.00","0.00","NEGATIVE"
"Kathe Kirby","Kathe_Kirby","RT @BRIDGEschools: This weekend our second cohort of #ASEAN #BRIDGEprogram2017 teachers are meeting in Brisbane to start their professional…","0.00","0.00","NEGATIVE"
