"name","screen_name","text","polarity","subjectivity","label"
"Great India","rajpriyanka1","@Moiyola 
How in ambala a BSNL employ took the class of tutions.","0.00","0.00","NEGATIVE"
"Anmol Ramkumar","AnmolRamkumar","Omg tutions at 7am tomorrow! ANIME ALL NIGHT TONIGHT BABY!! 😍😍😍","0.00","0.00","NEGATIVE"
"Tuba","Zainabtuba_Bts","@jhopecrew noooo!!!!!! i hv tutions😖😖","0.00","0.00","NEGATIVE"
"Patriot Indian","lvsmita","@Dev_Fadnavis Dept of tech edu is trying 2 implmnt chngs in MHTCET 2018.pvt tutions wl mint money: govt image at stake: students confused","-0.40","0.70","NEGATIVE"
"Thunderbolt","decent_bang","@BeautifulKohat Shameful for GPGC professors who are getting huge pays but still begging for tutions, shame shame","0.40","0.90","POSITIVE"
"shantanuholic_doly","DalyPatwari","@shantanum07 please ans any in question of mine . I have my tutions within 20 min and cant miss it. @ColorsTV #AskShantanu #kkk8","0.00","0.00","NEGATIVE"
"🍓","JaylinFace","RT @YousefAlawi: Chemistry sir : 3 hours tutions everyday at 8Am .
Me : https://t.co/UPz0CvzH6n","0.15","0.80","POSITIVE"
"Nicki Minaj®","MissNickiiBaby","RT @YousefAlawi: Chemistry sir : 3 hours tutions everyday at 8Am .
Me : https://t.co/UPz0CvzH6n","0.15","0.80","POSITIVE"
"Yousef Minaj ♛✨","YousefAlawi","Chemistry sir : 3 hours tutions everyday at 8Am .
Me : https://t.co/UPz0CvzH6n","0.15","0.80","POSITIVE"
"Ashish Aryan","djashish","I think @SuPriyoBabul s taking tutions from #Mulayamsinghyadav #fb https://t.co/kRCGd2203s","0.00","0.00","NEGATIVE"
"Nishant Dilip Sharma","NSiThinkiDo","Nothing more frustrating than realizing within 15 minutes of coming home tired, you have to take tutions that will last 3 hours 😂😂","-0.08","0.54","NEGATIVE"
"Kennedy Weaver","extrojerex1983","RT @anandpathakjee: Tutions started. Back to daily grinding routine. Hectic maths with dharmesh sir","0.00","0.00","NEGATIVE"
"golden_maknae_lover","dasbarna25","@royal_kpoper I couldnt ... i had tutions ... ikept it to record but the friggink t.v recorded only for 30 mins ...… https://t.co/daVdiWDPAb","0.00","1.00","NEGATIVE"
"Anam Tutors","anam_tutors","It's not about HOME TUTIONS; it's about personalized IMPROVEMENT, but we do need some power to drive and make the c… https://t.co/n6MYMwmBew","0.00","0.00","NEGATIVE"
"ChooseLove","AnujaShraman","i am late for my tutions imma die","-0.30","0.60","NEGATIVE"
"kujiy","kujiy","Oh my. American tutions are tooooo expensive but what's the difference of the genders?? https://t.co/Fi2lbaYXbs","-0.25","0.35","NEGATIVE"
"HomeTutorsDirectory","HomeTutorsD","RT @KChellagulla: Register on https://t.co/o0bSleC7Yi to find pastime or full time tuitions jobs #hometuitions #hometutions #tutions #tuiti…","0.35","0.55","POSITIVE"
"Christopher Burnette","calcaware","RT @ehackingss: Online Trainings on Ethical #Hacking, IT and Maths Tutions https://t.co/zmpP2Ghunc #Ehackings #Infosec","0.20","0.60","POSITIVE"
"EHackings","ehackingss","Online Trainings on Ethical #Hacking, IT and Maths Tutions https://t.co/zmpP2Ghunc #Ehackings #Infosec","0.20","0.60","POSITIVE"
"Eddie in Santa Paula","EDnSantaPaula","RT @Horacio78160087: @latsondheimer YES best league in America...where transfers pay $0 in tutions...  well Mater Dei,for sure....","0.75","0.59","POSITIVE"
"THE TRUTH","Horacio78160087","@latsondheimer YES best league in America...where transfers pay $0 in tutions...  well Mater Dei,for sure....","0.75","0.59","POSITIVE"
"Intolerant *Sunil*","sunilm9","@poonamsinha20 @OfficeOfRG had preplanned Gujarat stone incident, and was busy in tutions to execute it perfectly.… https://t.co/Wu2wSHAdpf","0.10","0.30","POSITIVE"
"Kashf Rana","KaShFRaNa7","BUSINESS on the  name of Educations:- How Schools/Colleges/Tutions Centre r making money throug PACKAGE DEALS, ther… https://t.co/XDa0Ae5j5u","0.00","0.00","NEGATIVE"
